Buff ID;Item Name;Max Buy Price (RMB);Min Sell Price (RMB);Quick Price (RMB);Reference Price (RMB);Steam Market Price (USD);Steam Market URL
43967;★ StatTrak™ Bayonet | Black Laminate (Factory New);2570;3500;3499.5;3500;668.08;https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Bayonet%20%7C%20Black%20Laminate%20%28Factory%20New%29
41486;Sticker | hazed (Foil) | MLG Columbus 2016;45;59.45;54.99;55.09;7.9;https://steamcommunity.com/market/listings/730/Sticker%20%7C%20hazed%20%28Foil%29%20%7C%20MLG%20Columbus%202016
41216;Sticker | byali (Foil) | Cologne 2016;28.3;38.9;38.8;38.9;6.99;https://steamcommunity.com/market/listings/730/Sticker%20%7C%20byali%20%28Foil%29%20%7C%20Cologne%202016
40684;Sticker | RUBINO (Foil) | Cologne 2016;0.4;41.15;41.05;41.15;9.16;https://steamcommunity.com/market/listings/730/Sticker%20%7C%20RUBINO%20%28Foil%29%20%7C%20Cologne%202016
836523;Sealed Graffiti | Recoil XM1014 (Violent Violet);2.4;6.87;6.68;6.69;0.96;https://steamcommunity.com/market/listings/730/Sealed%20Graffiti%20%7C%20Recoil%20XM1014%20%28Violent%20Violet%29
41948;Sticker | yam | Cologne 2015;7;14.5;14.4;14.5;3.15;https://steamcommunity.com/market/listings/730/Sticker%20%7C%20yam%20%7C%20Cologne%202015
835998;Negev | Phoenix Stencil (Well-Worn);22.1;29.5;29.4;29.5;4.67;https://steamcommunity.com/market/listings/730/Negev%20%7C%20Phoenix%20Stencil%20%28Well-Worn%29
768651;Sticker | Zeus (Gold) | Katowice 2019;142;268.46;267.96;268.46;48.57;https://steamcommunity.com/market/listings/730/Sticker%20%7C%20Zeus%20%28Gold%29%20%7C%20Katowice%202019
35539;MLG Columbus 2016 Dust II Souvenir Package;2;475;355.99;356.49;51.12;https://steamcommunity.com/market/listings/730/MLG%20Columbus%202016%20Dust%20II%20Souvenir%20Package
768724;Sticker | autimatic (Gold) | Katowice 2019;0;755;754.5;755;192.14;https://steamcommunity.com/market/listings/730/Sticker%20%7C%20autimatic%20%28Gold%29%20%7C%20Katowice%202019
36148;P90 | Emerald Dragon (Factory New);1380;1479.44;1478.94;1479.44;336.07;https://steamcommunity.com/market/listings/730/P90%20%7C%20Emerald%20Dragon%20%28Factory%20New%29
41791;Sticker | rain (Foil) | MLG Columbus 2016;65;104.9;104.4;104.9;21;https://steamcommunity.com/market/listings/730/Sticker%20%7C%20rain%20%28Foil%29%20%7C%20MLG%20Columbus%202016
41657;Sticker | mou (Foil) | Cologne 2016;21;154.4;153.9;154.4;46.98;https://steamcommunity.com/market/listings/730/Sticker%20%7C%20mou%20%28Foil%29%20%7C%20Cologne%202016
41271;Sticker | coldzera (Foil) | Cologne 2016;120;150.4;149.9;150.4;29.99;https://steamcommunity.com/market/listings/730/Sticker%20%7C%20coldzera%20%28Foil%29%20%7C%20Cologne%202016
41093;Sticker | Xyp9x (Foil) | Cologne 2016;111;164.23;159.61;160.11;22.96;https://steamcommunity.com/market/listings/730/Sticker%20%7C%20Xyp9x%20%28Foil%29%20%7C%20Cologne%202016
39999;Sticker | DEVIL (Foil) | Cologne 2016;81;133;126.49;126.99;18.21;https://steamcommunity.com/market/listings/730/Sticker%20%7C%20DEVIL%20%28Foil%29%20%7C%20Cologne%202016
39845;Sticker | AdreN (Foil) | Cologne 2016;46;111.86;111.36;111.86;16.06;https://steamcommunity.com/market/listings/730/Sticker%20%7C%20AdreN%20%28Foil%29%20%7C%20Cologne%202016
40750;Sticker | ScreaM (Foil) | Cologne 2016;191;607.4;606.9;607.4;138;https://steamcommunity.com/market/listings/730/Sticker%20%7C%20ScreaM%20%28Foil%29%20%7C%20Cologne%202016
41436;Sticker | fnx | Boston 2018;66;133;132.5;133;31.16;https://steamcommunity.com/market/listings/730/Sticker%20%7C%20fnx%20%7C%20Boston%202018
34976;Galil AR | Urban Rubble (Well-Worn);17.6;27.8;27.7;27.8;4.15;https://steamcommunity.com/market/listings/730/Galil%20AR%20%7C%20Urban%20Rubble%20%28Well-Worn%29
772563;Sticker | Forester (Gold) | Berlin 2019;47.3;71.88;71.78;71.88;12.39;https://steamcommunity.com/market/listings/730/Sticker%20%7C%20Forester%20%28Gold%29%20%7C%20Berlin%202019
777243;★ StatTrak™ Paracord Knife | Blue Steel (Minimal Wear);955;1298;1297.5;1298;210.04;https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Paracord%20Knife%20%7C%20Blue%20Steel%20%28Minimal%20Wear%29
39320;StatTrak™ P90 | Cold Blooded (Minimal Wear);0;2222.22;403.06;403.56;57.87;https://steamcommunity.com/market/listings/730/StatTrak%E2%84%A2%20P90%20%7C%20Cold%20Blooded%20%28Minimal%20Wear%29
836330;Sealed Graffiti | Recoil P90 (Frog Green);2.1;5.21;5.08;5.09;0.73;https://steamcommunity.com/market/listings/730/Sealed%20Graffiti%20%7C%20Recoil%20P90%20%28Frog%20Green%29
835838;Sealed Graffiti | Recoil P90 (Cash Green);2.5;5.42;5.41;5.42;0.8;https://steamcommunity.com/market/listings/730/Sealed%20Graffiti%20%7C%20Recoil%20P90%20%28Cash%20Green%29
836315;Sealed Graffiti | Recoil Galil AR (Tracer Yellow);1.3;4.31;4.3;4.31;0.63;https://steamcommunity.com/market/listings/730/Sealed%20Graffiti%20%7C%20Recoil%20Galil%20AR%20%28Tracer%20Yellow%29
836496;Sealed Graffiti | Recoil MP7 (Shark White);0;5.16;5.15;5.16;0.75;https://steamcommunity.com/market/listings/730/Sealed%20Graffiti%20%7C%20Recoil%20MP7%20%28Shark%20White%29
836126;Sealed Graffiti | Recoil CZ-75 (SWAT Blue);0;4.31;4.3;4.31;0.63;https://steamcommunity.com/market/listings/730/Sealed%20Graffiti%20%7C%20Recoil%20CZ-75%20%28SWAT%20Blue%29
836170;Sealed Graffiti | Recoil P90 (Desert Amber);0.7;5.91;5.9;5.91;0.85;https://steamcommunity.com/market/listings/730/Sealed%20Graffiti%20%7C%20Recoil%20P90%20%28Desert%20Amber%29
761587;Souvenir P250 | Vino Primo (Factory New);310;385.5;385;385.5;59.84;https://steamcommunity.com/market/listings/730/Souvenir%20P250%20%7C%20Vino%20Primo%20%28Factory%20New%29
37606;Souvenir FAMAS | Cyanospatter (Well-Worn);30;375;278.37;278.87;39.99;https://steamcommunity.com/market/listings/730/Souvenir%20FAMAS%20%7C%20Cyanospatter%20%28Well-Worn%29
34228;Autograph Capsule | Team Kinguin | Cologne 2015;15.2;32;22.77;22.87;3.28;https://steamcommunity.com/market/listings/730/Autograph%20Capsule%20%7C%20Team%20Kinguin%20%7C%20Cologne%202015
872471;★ StatTrak™ Huntsman Knife | Black Laminate (Battle-Scarred);1110;1299.8;1299.3;1299.8;362.34;https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Huntsman%20Knife%20%7C%20Black%20Laminate%20%28Battle-Scarred%29
36303;PP-Bizon | Rust Coat (Minimal Wear);32.1;47.69;47.59;47.69;7.72;https://steamcommunity.com/market/listings/730/PP-Bizon%20%7C%20Rust%20Coat%20%28Minimal%20Wear%29
